year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error,officials_analysis_competition_type_id,season_year
2024,34447,https://ijs.usfigureskating.org/leaderboard/results/2024/34447/index.asp,200,2024 Red White and Blue Ice,7/13/24,7/13/24,"Vacaville Ice Sportse, Vacaville, CA",2026-05-18T22:27:02+00:00,,11,2425
2024,34448,https://ijs.usfigureskating.org/leaderboard/results/2024/34448/index.asp,200,2024 Golden Dream Showcase,7/13/24,7/13/24,"The Cube Ice and Entertainment, Valencia, CA",2026-05-18T22:27:03+00:00,,11,2425
2024,34446,https://ijs.usfigureskating.org/leaderboard/results/2024/34446/index.asp,200,2024 State Games of America,7/16/24,7/21/24,"Poway Ice (101-218), Kroc Center (501-606), San Diego Ice Arena (301-393), San Diego, CA",2026-05-18T22:27:02+00:00,,11,2425
2024,33912,https://ijs.usfigureskating.org/leaderboard/results/2024/33912/index.asp,200,Skate Wilmington 2024,7/17/24,7/21/24,"The Skating Club of Wilmington, Wilmington, DE",2026-05-18T22:25:14+00:00,,11,2425
2024,34066,https://ijs.usfigureskating.org/leaderboard/results/2024/34066/index.asp,200,Skate Detroit 2024,7/17/24,7/20/24,"C Rink, B Rink, Bloomfield Hills, MI",2026-05-18T22:25:59+00:00,,11,2425
2024,33456,https://ijs.usfigureskating.org/leaderboard/results/2024/33456/index.asp,200,2024 Peach Classic,7/18/24,7/21/24,"Atlanta Ice Forum, Duluth, GA",2026-05-18T22:24:17+00:00,,11,2425
2024,34271,https://ijs.usfigureskating.org/leaderboard/results/2024/34271/index.asp,200,2024 U.S. Collegiate Championships - Invitational,7/18/24,7/21/24,"Wood Arena, Metal Arena, Richfield, MN",2026-05-18T22:26:29+00:00,,14,2425
2024,34455,https://ijs.usfigureskating.org/leaderboard/results/2024/34455/index.asp,200,2024 Non-Qualifying Peach Open,7/18/24,7/21/24,"IceForum, Breakaway, Duluth, GA",2026-05-18T22:27:06+00:00,,11,2425
2024,35477,https://ijs.usfigureskating.org/leaderboard/results/2024/35477/index.asp,200,2024 Take II on Broadway,7/18/24,7/19/24,"Everett Community Ice Rink, Everett, WA",2026-05-18T22:28:46+00:00,,11,2425
2024,35478,https://ijs.usfigureskating.org/leaderboard/results/2024/35478/index.asp,200,2024 Cactus Classic NonQualifying Competition,7/18/24,7/21/24,"Ice Den Scottsdale, Scottsdale, AZ",2026-05-18T22:28:47+00:00,,11,2425
