year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error
2025,36203,https://ijs.usfigureskating.org/leaderboard/results/2025/36203/index.asp,200,2025 Skate St. Paul,07/18/2025,07/19/2025,"Richfield, MN",2026-05-11T16:39:03+00:00,
2025,36206,https://ijs.usfigureskating.org/leaderboard/results/2025/36206/index.asp,200,2025 Potomac Memorial Open Nonqualifying Competiti,08/15/2025,08/17/2025,"Ashburn, VA",2026-05-11T16:39:04+00:00,
2025,36208,https://ijs.usfigureskating.org/leaderboard/results/2025/36208/index.asp,200,Vail Invitational Figure Skating Championships,07/18/1925,07/19/1925,"Steamboat Springs, CO",2026-05-11T16:39:04+00:00,
2025,36216,https://ijs.usfigureskating.org/leaderboard/results/2025/36216/index.asp,200,2025 Texas Trophy,09/30/2025,10/04/2025,"Plano, TX",2026-05-11T16:39:06+00:00,
2025,36217,https://ijs.usfigureskating.org/leaderboard/results/2025/36217/index.asp,200,2025 National Theatre On Ice,06/24/2025,06/28/2025,"Allen, TX",2026-05-11T16:39:06+00:00,
2025,36220,https://ijs.usfigureskating.org/leaderboard/results/2025/36220/index.asp,200,2025 Garden State Games,06/13/2025,06/14/2025,"Wayne, New Jersey",2026-05-11T16:39:07+00:00,
2025,36221,https://ijs.usfigureskating.org/leaderboard/results/2025/36221/index.asp,200,2025 Philadelphia Summer Championships,07/29/2025,08/03/2025,"Aston, PA",2026-05-11T16:39:07+00:00,
2025,36222,https://ijs.usfigureskating.org/leaderboard/results/2025/36222/index.asp,200,49th Annual Kathy Slack Troy Summer Competition,06/27/2025,06/29/2025,"Troy, OH",2026-05-11T16:39:07+00:00,
2025,36224,https://ijs.usfigureskating.org/leaderboard/results/2025/36224/index.asp,200,2025 Glacier Falls Summer Classic,07/30/2025,08/03/2025,"Anaheim, CA",2026-05-11T16:39:08+00:00,
2025,36226,https://ijs.usfigureskating.org/leaderboard/results/2025/36226/index.asp,200,2025 DuPage Open - Non Qual,08/01/2025,08/03/2025,"Evanston, IL",2026-05-11T16:39:08+00:00,
2025,36227,https://ijs.usfigureskating.org/leaderboard/results/2025/36227/index.asp,200,2025 Ice in the Pines,09/05/2025,09/07/2025,"Flagstaff, AZ",2026-05-11T16:39:09+00:00,
2025,36228,https://ijs.usfigureskating.org/leaderboard/results/2025/36228/index.asp,200,Skate Houston 2025,08/29/2025,09/01/2025,"Sugar Land, TX",2026-05-11T16:39:09+00:00,
2025,36229,https://ijs.usfigureskating.org/leaderboard/results/2025/36229/index.asp,200,Skate Milwaukee 2025,07/09/2025,07/13/2025,"Milwaukee, WI",2026-05-11T16:39:09+00:00,
2025,36230,https://ijs.usfigureskating.org/leaderboard/results/2025/36230/index.asp,200,2025 Southern Indiana Ice Classic,09/12/2025,09/14/2025,"Evansville, IN",2026-05-11T16:39:09+00:00,
2025,36235,https://ijs.usfigureskating.org/leaderboard/results/2025/36235/index.asp,200,2025 Skate Cleveland Non-Qual,09/19/2025,09/21/2025,"Cleveland, OH",2026-05-11T16:39:10+00:00,
2025,36236,https://ijs.usfigureskating.org/leaderboard/results/2025/36236/index.asp,200,2025 Southern California Interclub Championships,06/14/2025,06/15/2025,"Paramount, CA",2026-05-11T16:39:11+00:00,
2025,36244,https://ijs.usfigureskating.org/leaderboard/results/2025/36244/index.asp,200,37th Annual Ice Crystal Classic,08/22/2025,08/23/2025,"Vancouver, WA",2026-05-11T16:39:12+00:00,
2025,36250,https://ijs.usfigureskating.org/leaderboard/results/2025/36250/index.asp,200,2025 Maplewood Fall Classic,09/18/2025,09/21/2025,"Vadnais Heights, MN",2026-05-11T16:39:14+00:00,
2025,36275,https://ijs.usfigureskating.org/leaderboard/results/2025/36275/index.asp,200,NQS - SDS - 2025 Dallas Classic,07/11/2025,07/13/2025,"Plano, TX",2026-05-11T16:39:19+00:00,
2025,36278,https://ijs.usfigureskating.org/leaderboard/results/2025/36278/index.asp,200,2025 Junior Cup,07/09/2025,07/13/2025,"Milwaukee, WI",2026-05-11T16:39:19+00:00,
2025,36280,https://ijs.usfigureskating.org/leaderboard/results/2025/36280/index.asp,200,2025 Top of The World Skating Competition,08/08/2025,08/09/2025,"Anchorage, Alaska",2026-05-11T16:39:20+00:00,
2025,36284,https://ijs.usfigureskating.org/leaderboard/results/2025/36284/index.asp,200,2025 Southwest Florida Fall Classic,08/30/2025,08/30/2025,"Ellenton, Florida",2026-05-11T16:39:21+00:00,
2025,36285,https://ijs.usfigureskating.org/leaderboard/results/2025/36285/index.asp,200,The 99th Annual Middle Atlantics Competition Non Q,09/03/2025,09/07/2025,"New York, NY",2026-05-11T16:39:21+00:00,
2025,36286,https://ijs.usfigureskating.org/leaderboard/results/2025/36286/index.asp,200,2025 Sunshine State Synchro Classic,10/25/2025,10/25/2025,"Wesley Chapel, FL",2026-05-11T16:39:21+00:00,
2025,36287,https://ijs.usfigureskating.org/leaderboard/results/2025/36287/index.asp,200,2025 Skate San Francisco,08/22/2025,08/24/2025,"San Francisco, CA",2026-05-11T16:39:21+00:00,
2025,36288,https://ijs.usfigureskating.org/leaderboard/results/2025/36288/index.asp,200,2025 Red White and Blue,07/13/2025,07/13/1925,"Vacaville, CA",2026-05-11T16:39:22+00:00,
2025,36290,https://ijs.usfigureskating.org/leaderboard/results/2025/36290/index.asp,200,2025 Excel National Festival,07/09/2025,07/13/2025,"Colorado Springs, CO",2026-05-11T16:39:22+00:00,
2025,36291,https://ijs.usfigureskating.org/leaderboard/results/2025/36291/index.asp,200,2025 EDGE OF THE SOUND,08/02/2025,08/02/2025,"BREMERTON, WA",2026-05-11T16:39:23+00:00,
2025,36292,https://ijs.usfigureskating.org/leaderboard/results/2025/36292/index.asp,200,2025 National Showcase,07/28/2025,08/02/2025,"Rochester, MI",2026-05-11T16:39:23+00:00,
2025,36295,https://ijs.usfigureskating.org/leaderboard/results/2025/36295/index.asp,200,2025 Carousel Classic,09/12/2025,09/14/2025,"Eugene, OR",2026-05-11T16:39:24+00:00,
2025,36301,https://ijs.usfigureskating.org/leaderboard/results/2025/36301/index.asp,200,2025 Atlanta Open Non-Qual,08/21/2025,08/24/2025,"Cumming, GA",2026-05-11T16:39:25+00:00,
2025,36302,https://ijs.usfigureskating.org/leaderboard/results/2025/36302/index.asp,200,Skate Detroit 2025,08/19/2025,08/24/2025,"Bloomfield Hills, MI",2026-05-11T16:39:25+00:00,
2025,36303,https://ijs.usfigureskating.org/leaderboard/results/2025/36303/index.asp,200,2025 Scott Hamilton Invitational,08/01/2025,08/03/2025,"Nashville, TN",2026-05-11T16:39:26+00:00,
2025,36305,https://ijs.usfigureskating.org/leaderboard/results/2025/36305/index.asp,200,2025 Apple Ice Classic,08/15/2025,08/17/2025,"Wenatchee, WA",2026-05-11T16:39:26+00:00,
2025,36312,https://ijs.usfigureskating.org/leaderboard/results/2025/36312/index.asp,200,2025 Cranberry Open - Nonqualifying,08/04/2025,08/08/2025,"Norwood, MA",2026-05-11T16:39:27+00:00,
2025,36314,https://ijs.usfigureskating.org/leaderboard/results/2025/36314/index.asp,200,26th Annual Chicago Open,07/25/2025,07/26/2025,"Glenview, IL",2026-05-11T16:39:28+00:00,
2025,36315,https://ijs.usfigureskating.org/leaderboard/results/2025/36315/index.asp,200,Challenge Cup 2025,09/18/2025,09/21/2025,"Ardmore, PA",2026-05-11T16:39:28+00:00,
2025,36317,https://ijs.usfigureskating.org/leaderboard/results/2025/36317/index.asp,200,2025 Minnesota L'etoile du Nord Challenge,08/16/2025,08/17/2025,"Coon Rapids, MN",2026-05-11T16:39:29+00:00,
2025,36324,https://ijs.usfigureskating.org/leaderboard/results/2025/36324/index.asp,200,2025 Pony Express Championships,09/19/2025,09/21/2025,"St. Joseph, MO",2026-05-11T16:39:30+00:00,
2025,36330,https://ijs.usfigureskating.org/leaderboard/results/2025/36330/index.asp,200,2025 Florida Figure Skating Championships,10/03/2025,10/05/2025,"Jacksonville, FL",2026-05-11T16:39:32+00:00,
2025,36332,https://ijs.usfigureskating.org/leaderboard/results/2025/36332/index.asp,200,2025 Autumn Skills Competition,11/15/2025,11/15/2025,"Broollyn, Ohio",2026-05-11T16:39:32+00:00,
2025,36336,https://ijs.usfigureskating.org/leaderboard/results/2025/36336/index.asp,200,2025 Granite City Classic,11/07/2025,11/08/2025,Municipal Athletic Complex (MAC),2026-05-11T16:39:33+00:00,
2025,36339,https://ijs.usfigureskating.org/leaderboard/results/2025/36339/index.asp,200,2025 Falling Leaves CRC Championship,09/26/2025,09/28/2025,"Glen Allen, VA",2026-05-11T16:39:34+00:00,
2025,36343,https://ijs.usfigureskating.org/leaderboard/results/2025/36343/index.asp,200,2025 Skate by the Sea,08/23/2025,08/23/2025,"San Diego, CA",2026-05-11T16:39:35+00:00,
2025,36347,https://ijs.usfigureskating.org/leaderboard/results/2025/36347/index.asp,200,4th Annual Chuck Cope Synchronized Skating Competi,10/18/2025,10/18/2025,"Dearborn, MI",2026-05-11T16:39:35+00:00,
2025,36351,https://ijs.usfigureskating.org/leaderboard/results/2025/36351/index.asp,200,2025 Oklahoma Open,08/23/2025,08/24/2025,"Oklahoma City, OK",2026-05-11T16:39:36+00:00,
2025,36352,https://ijs.usfigureskating.org/leaderboard/results/2025/36352/index.asp,200,2025 Mini Championship Challenge,08/16/2025,08/17/2025,"Coon Rapids, MN",2026-05-11T16:39:37+00:00,
2025,36353,https://ijs.usfigureskating.org/leaderboard/results/2025/36353/index.asp,200,2025 Synchro Fall Classic,11/07/2025,11/09/2025,"Irvine, CA",2026-05-11T16:39:37+00:00,
2025,36356,https://ijs.usfigureskating.org/leaderboard/results/2025/36356/index.asp,200,Ann Arbor Adult Open 2025,11/07/2025,11/08/2025,"Ann Arbor, MI",2026-05-11T16:39:37+00:00,
2025,36360,https://ijs.usfigureskating.org/leaderboard/results/2025/36360/index.asp,200,14th Annual Interclub Invitational Series Final,09/27/2025,09/28/2025,"Paramount, CA",2026-05-11T16:39:38+00:00,
2025,36363,https://ijs.usfigureskating.org/leaderboard/results/2025/36363/index.asp,200,2025 16th Annual Capital City Championships,10/24/2025,10/25/2025,"Bismarck, ND",2026-05-11T16:39:39+00:00,
